ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
6173034,M,Y,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,-11982,-1161,1,0,0,0,Laborers,3
6070452,M,N,N,2,135000,Working,Secondary / secondary special,Married,With parents,-11742,-750,1,1,0,0,High skill tech staff,4
6578097,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-23176,365243,1,0,0,0,NA,2
6658206,F,N,Y,1,90000,Commercial associate,Higher education,Married,House / apartment,-8852,-1480,1,0,0,0,High skill tech staff,3
5868601,M,Y,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,-15915,-4171,1,0,1,1,Managers,2
5205723,F,N,Y,1,184500,Working,Secondary / secondary special,Married,House / apartment,-12864,-776,1,0,0,0,NA,3
5453632,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19020,-221,1,0,0,0,Drivers,2
6050070,F,N,Y,1,225000,Working,Higher education,Married,House / apartment,-10284,-1823,1,0,0,0,Core staff,3
6611570,M,N,N,0,180000,Working,Incomplete higher,Married,House / apartment,-17000,-745,1,0,0,0,NA,2
6603268,F,N,Y,2,238500,Commercial associate,Higher education,Married,House / apartment,-12899,-189,1,1,1,0,Accountants,4
6674570,F,N,Y,0,175500,Working,Secondary / secondary special,Separated,House / apartment,-13151,-5345,1,1,0,0,Core staff,1
6163271,F,N,N,1,81000,Working,Secondary / secondary special,Civil marriage,House / apartment,-14330,-2440,1,1,1,0,Laborers,3
6366590,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,-11174,-2484,1,0,0,0,Sales staff,2
5401209,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17933,-8801,1,1,1,0,Managers,1
5618866,F,N,N,0,135000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-24700,365243,1,0,0,0,NA,2
5581314,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Married,House / apartment,-20594,365243,1,0,1,0,NA,2
6092362,M,Y,Y,2,373500,Commercial associate,Higher education,Married,House / apartment,-14578,-1700,1,0,0,0,Core staff,4
5891523,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,With parents,-14329,-609,1,0,1,0,Accountants,2
5156635,F,Y,Y,0,270000,Pensioner,Secondary / secondary special,Married,House / apartment,-21726,365243,1,0,0,0,NA,2
6562604,M,N,Y,1,202500,Commercial associate,Higher education,Married,House / apartment,-10690,-2081,1,0,0,0,NA,3
6064107,F,N,Y,1,225000,Working,Higher education,Married,House / apartment,-18368,-9937,1,0,1,1,Core staff,3
6420110,M,Y,Y,0,382500,Working,Secondary / secondary special,Married,House / apartment,-15107,-1326,1,0,0,0,Drivers,2
5918507,M,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13230,-302,1,0,0,0,Drivers,4
5297890,F,N,N,1,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15543,-3518,1,0,0,0,Core staff,3
5671109,F,N,N,0,67500,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-8514,-543,1,0,0,0,Sales staff,2
5785134,M,Y,N,2,90000,Working,Secondary / secondary special,Married,House / apartment,-15553,-801,1,0,0,0,Laborers,4
6687984,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,-11359,-1271,1,0,0,0,Sales staff,3
5703232,M,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-9072,-403,1,0,0,0,Cooking staff,2
5297917,M,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,-18953,-231,1,0,0,0,Cleaning staff,2
5996325,M,N,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-17156,-2834,1,0,0,0,Laborers,2
6186104,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,-16212,-389,1,0,0,0,Cooking staff,2
6411811,M,Y,Y,2,202500,Working,Secondary / secondary special,Married,House / apartment,-15027,-4735,1,1,1,0,NA,4
5891380,F,N,Y,0,270000,Commercial associate,Higher education,Single / not married,House / apartment,-23435,-7793,1,0,0,0,Managers,1
5424778,F,N,N,0,166500,Working,Higher education,Married,House / apartment,-18428,-1733,1,0,0,0,Managers,2
5490302,F,N,Y,0,135000,Working,Incomplete higher,Single / not married,House / apartment,-9550,-2291,1,0,0,0,High skill tech staff,1
6491618,F,N,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14422,-5790,1,1,1,0,Sales staff,3
5678569,F,Y,Y,1,90000,Working,Higher education,Married,House / apartment,-11612,-1127,1,1,1,0,NA,3
6830772,F,N,N,1,225000,Commercial associate,Incomplete higher,Married,House / apartment,-12029,-1700,1,1,0,0,Managers,3
6193446,F,N,N,1,108000,Working,Secondary / secondary special,Married,Municipal apartment,-8404,-710,1,0,0,0,Core staff,3
6612583,M,N,Y,0,180000,Working,Incomplete higher,Civil marriage,House / apartment,-9976,-1205,1,0,0,0,NA,2
5499320,F,Y,Y,0,162000,Working,Secondary / secondary special,Married,House / apartment,-13289,-1123,1,0,0,0,NA,2
6073580,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-18494,-11471,1,1,0,0,NA,2
5279516,M,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-10451,-3108,1,0,0,0,Laborers,3
5343549,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-17078,-6474,1,0,0,0,Laborers,2
6244108,F,N,N,0,270000,State servant,Secondary / secondary special,Married,House / apartment,-20235,-13051,1,1,1,0,Laborers,2
5177386,F,N,Y,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14592,-3826,1,0,0,0,Managers,4
6831075,F,Y,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,-11182,-847,1,1,0,0,Sales staff,2
6184684,F,Y,Y,1,135000,Working,Higher education,Married,With parents,-13024,-1402,1,0,1,0,Laborers,3
6540199,M,Y,N,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14736,-2580,1,0,0,1,Core staff,4
6415507,F,N,Y,0,202500,Commercial associate,Lower secondary,Widow,House / apartment,-16999,-4403,1,0,0,0,Laborers,1
5258647,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-17633,-3207,1,0,0,0,Private service staff,3
6754645,F,N,Y,0,67500,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-17154,-1408,1,0,0,0,Medicine staff,1
6007558,M,Y,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,-22934,-4182,1,0,0,0,Laborers,2
5155040,F,N,Y,1,292500,Working,Incomplete higher,Married,House / apartment,-12937,-855,1,0,0,0,NA,3
5270881,M,N,N,0,157500,Working,Higher education,Married,House / apartment,-17762,-2805,1,0,1,0,Managers,2
5822871,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23769,365243,1,0,0,0,NA,2
6035978,M,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,Office apartment,-23836,365243,1,0,0,0,NA,2
6033673,F,Y,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-13358,-752,1,0,0,0,Accountants,1
6311801,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16283,-7600,1,0,0,1,Laborers,2
6806482,M,Y,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17872,-1495,1,0,1,0,Laborers,1
6111382,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-17188,-733,1,1,0,0,Laborers,2
6366292,F,Y,Y,0,180000,Commercial associate,Incomplete higher,Married,House / apartment,-12590,-3396,1,0,0,0,NA,2
5876612,F,N,Y,0,180000,Commercial associate,Incomplete higher,Married,House / apartment,-16729,-2336,1,0,0,0,Core staff,2
5559346,M,N,Y,0,180000,Working,Higher education,Married,House / apartment,-20103,-1377,1,0,0,0,NA,2
6014514,F,N,Y,2,189000,Working,Secondary / secondary special,Single / not married,House / apartment,-13385,-2254,1,0,0,0,Cooking staff,3
5759361,F,N,N,1,153000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11136,-493,1,0,1,0,High skill tech staff,3
6122799,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-10132,-2125,1,0,0,1,Core staff,3
6397847,F,N,Y,0,315000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-21887,-5804,1,0,0,0,Managers,2
5996187,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-8625,-185,1,0,0,0,Laborers,3
5162984,F,N,N,0,175500,Working,Secondary / secondary special,Married,House / apartment,-15566,-5173,1,1,0,0,Cooking staff,2
5295405,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22320,365243,1,0,0,0,NA,2
6779629,F,N,Y,0,184500,Commercial associate,Higher education,Civil marriage,House / apartment,-9426,-2836,1,1,0,0,NA,2
6144726,F,N,N,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-13624,-859,1,0,0,0,Laborers,1
6391524,F,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15064,-2328,1,1,0,0,Cooking staff,3
5918256,M,N,Y,2,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14829,-1600,1,0,0,0,Managers,4
5956083,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-22557,365243,1,0,0,0,NA,2
6288087,F,N,Y,0,157500,Working,Secondary / secondary special,Widow,House / apartment,-19340,-6211,1,0,0,0,Medicine staff,1
5180939,F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,-14853,-3961,1,0,0,0,Sales staff,2
5759800,M,N,N,0,202500,Working,Secondary / secondary special,Married,Office apartment,-12007,-1831,1,0,0,0,Managers,2
6248033,F,N,Y,0,67500,Working,Secondary / secondary special,Single / not married,House / apartment,-11492,-2265,1,0,0,0,Laborers,1
5995851,F,Y,N,1,360000,Commercial associate,Higher education,Married,House / apartment,-15567,-6375,1,0,1,0,Laborers,3
6261470,F,N,Y,2,157500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-13046,-929,1,0,0,0,Medicine staff,4
5853604,F,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15956,-2821,1,0,0,0,Sales staff,3
5314896,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-18870,-2021,1,0,0,0,Laborers,2
6036280,M,Y,Y,2,211500,Working,Secondary / secondary special,Married,House / apartment,-15461,-1445,1,0,1,0,Security staff,4
6398425,F,N,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,-17758,-4678,1,0,0,0,NA,1
5823822,F,N,N,1,45000,Working,Secondary / secondary special,Married,With parents,-13556,-5357,1,0,0,0,NA,3
5185668,M,N,Y,2,180000,Working,Incomplete higher,Married,House / apartment,-14745,-1669,1,0,1,0,Drivers,4
5905651,F,N,Y,2,81000,Commercial associate,Secondary / secondary special,Married,House / apartment,-11804,-475,1,0,0,0,High skill tech staff,4
6050406,M,N,Y,0,72000,Working,Secondary / secondary special,Married,House / apartment,-20475,-3404,1,1,0,0,Laborers,2
5938618,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8720,-177,1,1,0,1,Sales staff,1
6121944,F,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12860,-3911,1,0,0,0,Sales staff,1
5626316,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-23237,365243,1,0,0,0,NA,2
6539138,F,Y,Y,1,202500,Working,Higher education,Married,House / apartment,-10649,-349,1,0,0,0,High skill tech staff,3
6447727,M,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,-18781,-10711,1,0,0,0,Laborers,2
6203194,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18712,-3699,1,0,1,0,Managers,2
5978410,F,Y,Y,0,108000,Working,Incomplete higher,Married,House / apartment,-10972,-3673,1,0,0,0,NA,2
6395822,F,Y,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-23600,365243,1,0,1,0,NA,2
5177864,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-18194,-7602,1,0,0,0,NA,2
6394708,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-10581,-547,1,0,0,0,Core staff,4
6037362,M,Y,N,1,315000,Working,Secondary / secondary special,Married,House / apartment,-14884,-2605,1,0,0,0,Laborers,3
6620554,F,N,Y,0,112500,Working,Lower secondary,Civil marriage,House / apartment,-16319,-2085,1,0,1,0,Sales staff,2
6023143,F,N,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14522,-451,1,0,0,0,Sales staff,3
6366314,F,Y,Y,0,72000,Working,Secondary / secondary special,Married,House / apartment,-11404,-566,1,1,1,0,Core staff,2
5888742,F,N,Y,1,180000,Working,Secondary / secondary special,Married,Municipal apartment,-19242,-3048,1,0,1,0,NA,3
5891304,F,Y,Y,0,315000,Commercial associate,Higher education,Separated,House / apartment,-12796,-3168,1,0,0,1,Cleaning staff,1
5906531,M,Y,N,1,315000,Working,Higher education,Single / not married,House / apartment,-12315,-4560,1,1,1,1,Accountants,2
6605318,F,Y,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-11584,-2752,1,0,1,0,Sales staff,2
6231660,M,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,-17356,-2231,1,0,0,1,Laborers,2
5602792,M,N,Y,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,-14730,-2012,1,0,1,0,Managers,2
5409158,M,N,N,0,207000,Working,Secondary / secondary special,Married,House / apartment,-13456,-3252,1,0,0,0,Drivers,2
5867232,F,Y,N,0,94500,Working,Secondary / secondary special,Married,House / apartment,-18698,-2917,1,1,0,0,Cooking staff,2
5193847,M,N,N,0,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,-12861,-542,1,0,1,0,Laborers,2
6481965,M,Y,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-16468,-750,1,0,0,0,Laborers,1
5776249,M,Y,Y,2,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11426,-135,1,0,0,0,Laborers,4
6604967,F,N,Y,0,112500,Commercial associate,Incomplete higher,Single / not married,House / apartment,-16220,-5673,1,1,1,0,NA,1
5185462,F,N,Y,0,378000,Working,Secondary / secondary special,Married,House / apartment,-11962,-3031,1,1,1,1,NA,2
5182968,F,N,Y,1,405000,Pensioner,Higher education,Married,House / apartment,-22662,365243,1,0,0,0,NA,3
6037765,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15436,-6106,1,1,1,0,Core staff,2
6664496,F,Y,Y,0,130500,Pensioner,Higher education,Married,House / apartment,-23499,365243,1,0,1,0,NA,2
5787862,F,Y,N,0,247500,Working,Higher education,Civil marriage,House / apartment,-12756,-736,1,0,0,1,NA,2
6102981,F,Y,N,1,90000,Working,Higher education,Married,House / apartment,-11053,-2657,1,0,0,0,Core staff,3
5398913,F,N,N,0,126000,Working,Secondary / secondary special,Married,House / apartment,-13125,-3343,1,0,0,0,Accountants,2
6239218,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21586,365243,1,0,0,0,NA,2
6643521,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,-19561,365243,1,0,0,0,NA,2
5789463,F,N,Y,1,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,-20029,-4204,1,0,0,0,Sales staff,3
6261493,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-13627,-4490,1,1,0,0,Accountants,2
6409062,F,N,Y,0,207000,Working,Secondary / secondary special,Single / not married,With parents,-10911,-166,1,0,0,0,Core staff,1
5823996,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19666,-12771,1,0,0,0,Managers,2
6792379,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-17864,-201,1,1,1,0,Laborers,2
5742133,F,N,Y,0,117000,Working,Secondary / secondary special,Widow,House / apartment,-17005,-2519,1,0,0,1,NA,1
5268529,F,N,Y,1,81000,Working,Lower secondary,Married,House / apartment,-14380,-1351,1,1,0,0,Sales staff,3
6023269,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-15008,-4134,1,0,0,0,Laborers,2
5474514,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-20884,365243,1,0,0,0,NA,2
6078015,F,Y,Y,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12479,-916,1,0,1,0,Sales staff,4
6033510,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-15417,-660,1,0,0,0,NA,2
6375321,F,N,Y,0,90000,Working,Higher education,Separated,House / apartment,-20216,-2628,1,1,0,0,Cooking staff,1
5313592,F,N,Y,1,76500,Working,Secondary / secondary special,Single / not married,House / apartment,-12908,-622,1,0,0,0,Laborers,2
6658412,M,Y,Y,1,202500,Commercial associate,Higher education,Married,House / apartment,-12678,-3184,1,0,0,0,NA,3
6141171,F,N,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,-13458,-743,1,0,0,0,Core staff,2
6671443,F,Y,Y,0,211500,Pensioner,Secondary / secondary special,Married,House / apartment,-21946,365243,1,0,0,0,NA,2
6639598,F,N,Y,0,202500,Commercial associate,Incomplete higher,Married,House / apartment,-10156,-1594,1,1,1,1,High skill tech staff,2
5995389,F,N,Y,0,153000,State servant,Secondary / secondary special,Single / not married,House / apartment,-21251,-3512,1,0,0,0,NA,1
6304714,F,Y,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-13569,-3459,1,1,0,0,Core staff,3
5181009,F,N,N,0,171000,Working,Higher education,Civil marriage,Rented apartment,-8939,-613,1,1,1,0,Sales staff,2
6498543,F,Y,Y,1,247500,State servant,Higher education,Separated,House / apartment,-14437,-4740,1,0,0,1,Core staff,2
6830955,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-20776,-6992,1,0,0,0,Medicine staff,2
6090009,F,N,Y,0,180000,Working,Secondary / secondary special,Separated,House / apartment,-15984,-330,1,0,0,0,Cooking staff,1
6023498,F,N,Y,0,121500,Pensioner,Lower secondary,Married,House / apartment,-8665,365243,1,0,0,0,NA,2
5474248,F,Y,N,1,112500,Working,Secondary / secondary special,Married,Municipal apartment,-14391,-119,1,0,0,0,NA,3
6233080,F,N,Y,2,270000,State servant,Higher education,Married,Office apartment,-12743,-2024,1,1,1,0,Medicine staff,4
6111603,M,N,N,0,135000,Working,Secondary / secondary special,Separated,House / apartment,-13837,-5726,1,0,0,0,Core staff,1
5889581,F,N,N,0,193500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22889,365243,1,0,0,0,NA,1
6621347,F,N,Y,0,157500,Working,Secondary / secondary special,Separated,House / apartment,-23969,-7244,1,0,0,0,Laborers,1
6832872,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-16757,-1365,1,1,1,0,Sales staff,2
6138659,M,N,Y,0,351000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16095,-3983,1,0,0,1,Drivers,2
5159313,M,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-12473,-1651,1,0,1,0,Drivers,3
6070545,M,Y,Y,2,315000,Working,Secondary / secondary special,Married,House / apartment,-13821,-3093,1,0,0,0,Managers,4
5270693,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-12796,-1038,1,0,0,0,Laborers,2
6472494,F,N,N,3,90000,Working,Lower secondary,Married,With parents,-14187,-1059,1,0,0,0,Laborers,5
6159027,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-22618,365243,1,0,0,0,NA,2
6529559,F,N,Y,0,76500,Working,Higher education,Civil marriage,House / apartment,-18109,-257,1,0,0,0,Sales staff,2
6211264,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,-10451,-2032,1,0,0,0,Managers,2
6102747,F,N,Y,2,198000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17199,-768,1,1,1,0,Private service staff,4
5741933,M,Y,Y,0,261000,Working,Secondary / secondary special,Married,House / apartment,-14623,-1651,1,1,1,0,Managers,2
6155111,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-13221,-1411,1,1,1,0,Laborers,2
5260405,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-13353,-3262,1,0,1,0,NA,2
6213468,F,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-16664,-8517,1,0,0,0,Laborers,3
6744243,M,N,Y,1,202500,Working,Secondary / secondary special,Separated,House / apartment,-18921,-3143,1,0,0,0,Laborers,2
6108439,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21405,365243,1,0,0,0,NA,2
6485376,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-16113,-3369,1,0,0,0,Waiters/barmen staff,3
5314535,F,N,Y,0,144000,Commercial associate,Higher education,Married,House / apartment,-11127,-1929,1,0,0,0,Accountants,2
5784831,F,Y,Y,1,270000,Commercial associate,Higher education,Married,House / apartment,-15488,-2597,1,0,0,0,Sales staff,3
5805699,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-17450,-2430,1,0,0,0,NA,2
6229215,M,N,Y,2,225000,Working,Higher education,Married,House / apartment,-13088,-3035,1,0,0,0,Laborers,4
5891742,F,N,N,2,247500,Working,Secondary / secondary special,Civil marriage,With parents,-15631,-547,1,0,0,0,Sales staff,4
5602533,M,N,N,1,112500,Working,Secondary / secondary special,Single / not married,With parents,-12100,-671,1,1,1,0,Cooking staff,2
6577982,M,Y,Y,1,315000,Working,Higher education,Married,House / apartment,-13575,-2234,1,0,1,0,Laborers,3
5671406,M,Y,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-9127,-148,1,0,0,0,Laborers,1
5772807,F,N,Y,0,99000,Working,Secondary / secondary special,Married,House / apartment,-10112,-1155,1,0,0,0,Sales staff,2
5156044,F,N,N,1,90000,Working,Secondary / secondary special,Separated,House / apartment,-9777,-422,1,0,1,0,Sales staff,2
6464186,M,N,Y,0,193500,Commercial associate,Secondary / secondary special,Married,House / apartment,-10445,-2909,1,0,0,0,Drivers,2
5438628,F,N,N,0,270000,Pensioner,Higher education,Single / not married,Office apartment,-21281,365243,1,0,1,0,NA,1
6143660,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,-15963,-208,1,0,0,0,Laborers,3
6460360,F,N,Y,1,238500,State servant,Higher education,Married,House / apartment,-13747,-718,1,0,0,0,Core staff,3
6091641,M,Y,Y,0,270000,Working,Incomplete higher,Married,House / apartment,-21969,-2218,1,0,0,1,Managers,2
6737927,M,N,Y,1,256500,Working,Secondary / secondary special,Married,House / apartment,-16710,-380,1,0,0,0,NA,3
6243045,F,Y,Y,0,292500,Pensioner,Secondary / secondary special,Married,House / apartment,-22243,365243,1,0,0,0,NA,2
5857848,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,-18056,-5528,1,1,1,0,Core staff,3
